"specimen","DNAvial","science_sex","DNALab_sex","concordance","Fork_Length"
14953505,"455_20160019_V","FEMALE","FEMALE",1,695
14953522,"455_20160029_V","MALE","MALE",1,665
14953534,"455_20160036_V","FEMALE","MALE",0,615
14953541,"455_20160011_V","FEMALE","MALE",0,650
14953545,"455_20160028_V","MALE","MALE",1,640
14953548,"455_20160034_V","MALE","MALE",1,630
14953549,"455_20160027_V","MALE","MALE",1,535
14953550,"455_20160023_V","MALE","MALE",1,700
14953551,"455_20160025_V","FEMALE","MALE",0,620
14954892,"455_20160001_V","FEMALE","MALE",0,555
14954896,"455_20150174_V","MALE","MALE",1,595
14954908,"455_20150194_V","MALE","MALE",1,590
14954925,"455_20150170_V","FEMALE","FEMALE",1,685
14954927,"455_20150173_V","MALE","MALE",1,600
14954935,"455_20150150_V","MALE","MALE",1,610
14954945,"455_20160018_V","MALE","MALE",1,600
14954956,"455_20160021_V","MALE","MALE",1,460
14954960,"455_20150149_V","FEMALE","MALE",0,605
14954968,"455_20160020_V","MALE","FEMALE",0,435
14954987,"455_20150182_V","FEMALE","FEMALE",1,505
14954988,"455_20150163_V","MALE","MALE",1,650
14954994,"455_20160022_V","MALE","MALE",1,520
14955006,"455_20150196_V","MALE","MALE",1,620
15122528,"455_20150145_V","FEMALE","FEMALE",1,565
15122529,"455_20150142_V","MALE","MALE",1,530
15122530,"455_20150143_V","MALE","MALE",1,420
15122532,"455_20150144_V","FEMALE","FEMALE",1,510
15122533,"455_20150123_V","FEMALE","FEMALE",1,530
15122536,"455_20150138_V","FEMALE","MALE",0,460
15122537,"455_20150137_V","MALE","MALE",1,580
15122538,"455_20150121_v","FEMALE","FEMALE",1,545
15122541,"455_20150109_V","MALE","MALE",1,500
15122542,"455_20150136_V","FEMALE","FEMALE",1,535
15122543,"455_20150101_V","MALE","MALE",1,685
15122544,"455_20150105_V","FEMALE","FEMALE",1,745
15122545,"455_20150146_V","FEMALE","FEMALE",1,555
15122657,"455_20150110_V","FEMALE","FEMALE",1,595
15122665,"455_20150107_V","MALE","MALE",1,460
15122824,"455_20150119_V","FEMALE","FEMALE",1,865
15122825,"455_20150102_V","FEMALE","FEMALE",1,820
15122826,"455_20150120_V","FEMALE","FEMALE",1,850
15122938,"455_20150116_V","FEMALE","FEMALE",1,705
15122940,"455_20150111_V","FEMALE","FEMALE",1,705
15122972,"455_20150104_V","MALE","MALE",1,515
15122973,"455_20150141_V","FEMALE","FEMALE",1,565
15122974,"455_20150118_V","FEMALE","FEMALE",1,815
15123386,"455_20150103_V","FEMALE","FEMALE",1,850
15123387,"455_20150117_V","FEMALE","FEMALE",1,715
15123388,"455_20150106_V","MALE","MALE",1,700
15124411,"455_20150115_V","FEMALE","FEMALE",1,685
15124413,"455_20150114_V","FEMALE","FEMALE",1,770
15124414,"455_20150112_V","MALE","MALE",1,655
15124415,"455_20150113_V","FEMALE","FEMALE",1,695
15124583,"455_20150171_V","FEMALE","FEMALE",1,865
15124584,"455_20150169_V","MALE","MALE",1,655
15124586,"455_20150190_V","MALE","MALE",1,725
15124587,"455_20160013_V","MALE","MALE",1,740
15124588,"455_20160031_V","MALE","MALE",1,750
15125136,"455_20160017_V","FEMALE","FEMALE",1,965
15125402,"455_20150189_V","FEMALE","FEMALE",1,625
15125403,"455_20150191_V","MALE","MALE",1,730
15125406,"455_20150148_V","MALE","MALE",1,725
15125502,"455_20150160_V","FEMALE","FEMALE",1,580
15125503,"455_20150175_V","FEMALE","FEMALE",1,530
15125505,"455_20150180_V","FEMALE","FEMALE",1,570
15126734,"455_20150168_V","FEMALE","FEMALE",1,690
15126735,"455_20150184_V","FEMALE","FEMALE",1,510
15126737,"455_20150158_V","MALE","MALE",1,480
15126738,"455_20150172_V","FEMALE","FEMALE",1,825
15126742,"455_20150188_V","MALE","MALE",1,615
15126744,"455_20150154_V","FEMALE","MALE",0,630
15126745,"455_20150166_V","MALE","MALE",1,590
15126747,"455_20150164_V","FEMALE","FEMALE",1,475
15126751,"455_20150181_V","MALE","MALE",1,440
15126929,"455_20150176_V","FEMALE","FEMALE",1,525
15126933,"455_20150156_V","MALE","MALE",1,485
15127031,"455_20160015_V","FEMALE","FEMALE",1,490
15127034,"455_20160007_V","FEMALE","MALE",0,605
