"yr","DNA_VIAL_BARCODE","SPECIMEN_SEX_DESC","Y_X_proportion_based_genetic_sex_ID_2022","Y_X_proportion_based_concordance_fisher_and_genetic_sex_ID_2022","Fork_Length","Size","grp"
2022,"455_20160020_V","MALE","FEMALE",0,435,"Sublegal","All specimens"
2022,"455_20160021_V","MALE","MALE",1,460,"Sublegal","All specimens"
2022,"455_20160022_V","MALE","MALE",1,520,"Sublegal","All specimens"
2022,"455_20160023_V","MALE","MALE",1,700,"Legal","All specimens"
2022,"455_20160024_V","FEMALE","MALE",0,370,"Sublegal","All specimens"
2022,"455_20160025_V","FEMALE","MALE",0,620,"Legal","All specimens"
2022,"455_20160026_V","MALE","MALE",1,780,"Legal","All specimens"
2022,"455_20160027_V","MALE","MALE",1,535,"Sublegal","All specimens"
2022,"455_20160028_V","MALE","MALE",1,640,"Legal","All specimens"
2022,"455_20160029_V","MALE","MALE",1,665,"Legal","All specimens"
2022,"455_20160031_V","MALE","MALE",1,750,"Legal","All specimens"
2022,"455_20160033_V","FEMALE","FEMALE",1,395,"Sublegal","All specimens"
2022,"455_20160034_V","MALE","MALE",1,630,"Legal","All specimens"
2022,"455_20160035_V","FEMALE","MALE",0,390,"Sublegal","All specimens"
2022,"455_20160036_V","FEMALE","MALE",0,615,"Legal","All specimens"
2022,"455_20160037_V","FEMALE","MALE",0,350,"Sublegal","All specimens"
