Sample Date,White bag label,White Bag,Sex (M/F) (1 cut= malel; 2 cuts= female),Sampler #1,"InterOrbital Distance (narrowest distance between bony eye sockets, measured on dorsal surface)",Snout length (distance from tip of snout to anterior edge of bony eye socket),Upper jaw length (Distance from tip of snout to the posterior edge of the maxilla),Post orbital to Preoperculum (Posterior orbit to visual insertion point of preopercle),Sampler #2,"InterOrbital Distance (narrowest distance between bony eye sockets, measured on dorsal surface)",Snout length (distance from tip of snout to anterior edge of bony eye socket),Upper jaw length (Distance from tip of snout to the posterior edge of the maxilla),Post orbital to Preoperculum (Posterior orbit to visual insertion point of preopercle),Sampler #3,"InterOrbital Distance (narrowest distance between bony eye sockets, measured on dorsal surface)",Snout length (distance from tip of snout to anterior edge of bony eye socket),Upper jaw length (Distance from tip of snout to the posterior edge of the maxilla),Post orbital to Preoperculum (Posterior orbit to visual insertion point of preopercle),DNA VIAL BARCODE,Otolith Cell,Otoliths Collected (Y/N),Otolith Tray,Oto Check
7/2/2020,Eikelberg,,1,,45.95,47.04,61.11,40.29,,,,,,,,,,,455_20170011_V,A10,Y,455-02,
7/2/2020,Eikelberg,,1,,55.67,59.09,79.99,44.83,,,,,,,,,,,455_20170012_V,A11,Y,455-02,
7/2/2020,Eikelberg,,1,,44.61,48.46,63.23,38.46,,,,,,,,,,,455_20170013_V,A12,Y,455-02,
7/2/2020,Eikelberg,,1,,52.1,56.15,71.76,42.23,,,,,,,,,,,455_20170014_V,A13,Y,455-02,
7/2/2020,Eikelberg,,1,,38.38,41.56,57.59,32.49,,,,,,,,,,,455_20170015_V,A14,Y,455-02,y
7/2/2020,Eikelberg,,1,,47.5,52.72,67.46,41.06,,,,,,,,,,,455_20170016_V,A15,Y,455-02,
7/2/2020,Eikelberg,,1,,42.22,45.68,61.03,35.37,,,,,,,,,,,455_20170017_V,A16,Y,455-02,
7/2/2020,Eikelberg,,1,,43.38,45.66,59.59,34.65,,,,,,,,,,,455_20170018_V,A17,Y,455-02,
7/2/2020,Eikelberg,,1,,45.48,50.24,64.87,37.64,,,,,,,,,,,455_20170019_V,A18,Y,455-02,
7/2/2020,Eikelberg,,1,,48.38,49.47,70.38,35.74,,,,,,,,,,,455_20170020_V,A19,Y,455-02,
7/2/2020,Far Cobb,,2,,54.86,60.3,75.26,47.34,,,,,,,,,,,455_20170021_V,A20,Y,455-02,
7/2/2020,Far Cobb,,2,,55.32,57.55,75.63,44.91,,,,,,,,,,,455_20170022_V,B01,Y,455-02,y
7/2/2020,Far Cobb,,2,,44.51,50.53,65.98,40.86,,,,,,,,,,,455_20170023_V,B02,Y,455-02,
7/2/2020,Far Cobb,,2,,51.5,56.83,74.29,45.08,,,,,,,,,,,455_20170024_V,B03,Y,455-02,
7/2/2020,Far Cobb,,2,,48.37,54.3,71.76,40.42,,,,,,,,,,,455_20170025_V,B04,Y,455-02,
7/2/2020,Far Cobb,,1,,46.22,52.52,63.07,38.14,,,,,,,,,,,455_20170026_V,B05,Y,455-02,y
7/2/2020,Far Cobb,,2,,47.72,55.34,64.68,45.24,,,,,,,,,,,455_20170027_V,B06,Y,455-02,
7/2/2020,Far Cobb,,2,,49.77,55.45,73.75,42.81,,,,,,,,,,,455_20170028_V,B07,Y,455-02,y
7/2/2020,Far Cobb,,2,,52.06,55.16,75.99,43.85,,,,,,,,,,,455_20170029_V,B08,Y,455-02,
7/2/2020,Far Cobb,,1,,43.44,45.6,59.65,35.49,,,,,,,,,,,455_20170030_V,B09,Y,455-02,
7/2/2020,Far Cobb,,1,,44.41,48.72,62.14,34.37,,,,,,,,,,,455_20170031_V,B10,Y,455-02,y
7/2/2020,Far Cobb,,1,,43.11,48.79,65.19,36.91,,,,,,,,,,,455_20170032_V,B11,Y,455-02,y
7/2/2020,Far Cobb,,1,,45.97,51.26,68.39,38.85,,,,,,,,,,,455_20170033_V,B12,Y,455-02,
7/2/2020,Far Cobb,,1,,51.28,55.24,74.96,42.83,,,,,,,,,,,455_20170034_V,B13,Y,455-02,
7/2/2020,Far Cobb,,1,,44.54,49.44,60.21,36.9,,,,,,,,,,,455_20170035_V,B14,Y,455-02,
7/2/2020,Far Cobb,,1,,40.6,47.24,58.61,34.8,,,,,,,,,,,455_20170036_V,B15,Y,455-02,
7/2/2020,Far Cobb,,1,,48.13,54.38,72.77,46.11,,,,,,,,,,,455_20170037_V,B16,Y,455-02,y
7/2/2020,Far Cobb,,1,,47.07,47.08,61.92,37.04,,,,,,,,,,,455_20170038_V,B17,Y,455-02,
7/2/2020,Far Cobb,,1,,43,47.92,62.65,38.05,,,,,,,,,,,455_20170039_V,B18,Y,455-02,y
14/02/2020,Warwick,,1,,41.71,42.77,59.75,34.12,,,,,,,,,,,455_20170040_V,B19,Y,455-02,
14/02/2020,Warwick,,1,,39.13,46.8,58.71,36.66,,,,,,,,,,,455_20170041_V,B20,Y,455-02,Y
14/02/2020,Warwick,,1,,45.33,51.58,66.53,36.45,,,,,,,,,,,455_20170042_V,C01,Y,455-02,y
14/02/2020,Warwick,,1,,43.82,48.73,60.76,37.22,,,,,,,,,,,455_20170043_V,C02,Y,455-02,
14/02/2020,Warwick,,1,,40.96,46.77,61.68,35.17,,,,,,,,,,,455_20170044_V,C03,Y,455-02,
14/02/2020,Warwick,,1,,48.22,53.35,65.55,39.12,,,,,,,,,,,455_20170045_V,C04,Y,455-02,
14/02/2020,Warwick,,1,,40.16,44.18,54.85,37.09,,,,,,,,,,,455_20170046_V,C05,Y,455-02,y
14/02/2020,Warwick,,1,,39.21,44.82,61.69,36.72,,,,,,,,,,,455_20170047_V,C06,Y,455-02,
14/02/2020,Warwick,,1,,44.24,46.49,55.94,31.49,,,,,,,,,,,455_20170048_V,C07,Y,455-02,
14/02/2020,Warwick,,2,,49.37,48.94,64.55,36.41,,,,,,,,,,,,C08,Y,455-02,
14/02/2020,Warwick,,1,,41.7,44.66,54.04,35.24,,,,,,,,,,,455_20170049_V,C09,Y,455-02,
14/02/2020,Warwick,,1,,47.34,48.56,62.61,36.42,,,,,,,,,,,455_20170050_V,C10,Y,455-02,y
14/02/2020,Warwick,,1,,42.11,46.01,60.5,32.81,,,,,,,,,,,455_20170051_V,C11,Y,455-02,y
14/02/2020,Warwick,,1,,46.96,51.01,65.85,41.51,,,,,,,,,,,455_20170052_V,C12,Y,455-02,
14/02/2020,Warwick,,2,,43.28,48.14,60.36,40.94,,,,,,,,,,,455_20170053_V,C13,Y,455-02,y
14/02/2020,Warwick,,1,,48.49,51.73,69.37,38.54,,,,,,,,,,,455_20170054_V,C14,Y,455-02,y
14/02/2020,Warwick,,1,,38.66,45.16,55.21,34.49,,,,,,,,,,,455_20170055_V,C15,Y,455-02,y
14/02/2020,Warwick,,1,,37.59,41.79,53.91,32.87,,,,,,,,,,,455_20170057_V,C16,Y,455-02,y
14/02/2020,Warwick,,1,,42.97,47.05,57.93,33.24,,,,,,,,,,,455_20170056_V,C17,Y,455-02,
14/02/2020,Warwick,,1,,48.88,48.58,64.42,39.8,,,,,,,,,,,455_20170058_V,C18,Y,455-02,
14/02/2020,Warwick,,1,,51.91,55.84,74.92,42.98,,,,,,,,,,,455_20170059_V,C19,Y,455-02,y
14/02/2020,Warwick,,1,,44.47,47.86,62.72,37.73,,,,,,,,,,,455_20170060_V,C20,Y,455-02,
14/02/2020,Warwick,,1,,38.98,44.12,57.6,31.57,,,,,,,,,,,455_20170061_V,D01,Y,455-02,y
14/02/2020,Warwick,,1,,43.84,50.33,64.49,39.49,,,,,,,,,,,455_20170062_V,D02,Y,455-02,y
14/02/2020,Warwick,,1,,42.65,46.46,62.84,36.89,,,,,,,,,,,455_20170063_V,D03,Y,455-02,
14/02/2020,Warwick,,1,,43.37,48.54,69.75,34.93,,,,,,,,,,,455_20170064_V,D04,Y,455-02,
14/02/2020,Warwick,,1,,40.89,45.06,53.5,33.08,,,,,,,,,,,455_20170065_V,D05,Y,455-02,y
14/02/2020,Warwick,,1,,40.21,44.87,60.07,34.14,,,,,,,,,,,455_20170066_V,D06,Y,455-02,
14/02/2020,Warwick,,1,,52.5,56.38,71.84,42.59,,,,,,,,,,,455_20170067_V,D07,Y,455-02,y
14/02/2020,Warwick,,1,,42.53,45.37,58.86,34.72,,,,,,,,,,,455_20170069_V,D08,Y,455-02,y
14/02/2020,Far Cobb,,1,,36.86,39.72,49.93,31.38,,,,,,,,,,,455_20170071_V,D09,Y,455-02,
14/02/2020,Far Cobb,,1,,46.36,48.66,60.79,37.82,,,,,,,,,,,455_20170072_V,D10,Y,455-02,y
14/02/2020,Far Cobb,,1,,45.71,44.79,59.55,38.16,,,,,,,,,,,455_20170073_V,D11,Y,455-02,
14/02/2020,Far Cobb,,1,,44.58,45.95,64.1,35.93,,,,,,,,,,,455_20170074_V,D12,Y,455-02,
14/02/2020,Far Cobb,,1,,43.64,46.97,62.38,37.25,,,,,,,,,,,455_20170075_V,D13,Y,455-02,
14/02/2020,Far Cobb,,1,,44.42,45.33,59.8,32.31,,,,,,,,,,,455_20170076_V,D14,Y,455-02,
14/02/2020,Far Cobb,,1,,42.05,48.15,58.42,34.13,,,,,,,,,,,455_20170077_V,D15,Y,455-02,y
14/02/2020,Far Cobb,,1,,47.08,47.5,64.51,38.78,,,,,,,,,,,455_20170078_V,D16,Y,455-02,
14/02/2020,Far Cobb,,1,,49.27,54.55,70.36,38.55,,,,,,,,,,,455_20170079_V,D17,Y,455-02,
14/02/2020,Far Cobb,,1,,46.79,49.89,61.32,36.76,,,,,,,,,,,455_20170080_V,D18,Y,455-02,
14/02/2020,Far Cobb,,1,,44.96,51.75,66.36,36.7,,,,,,,,,,,455_20170081_V,D19,Y,455-02,y
14/02/2020,Far Cobb,,1,,45.97,45.9,60.74,39.48,,,,,,,,,,,455_20170082_V,D20,Y,455-02,
14/02/2020,Far Cobb,,1,,47.27,45.76,62.69,36.8,,,,,,,,,,,455_20170083_V,E01,Y,455-02,y
14/02/2020,Far Cobb,,1,,52.09,53.67,71.55,41.65,,,,,,,,,,,455_20170084_V,E02,Y,455-02,
14/02/2020,Far Cobb,,1,,49.04,52.6,71.56,39.96,,,,,,,,,,,455_20170085_V,E03,Y,455-02,
14/02/2020,Far Cobb,,1,,47.58,48.55,66.11,36.43,,,,,,,,,,,455_20170086_V,E04,Y,455-02,
14/02/2020,Far Cobb,,1,,41.74,45.36,58.42,33.63,,,,,,,,,,,455_20170087_V,E05,Y,455-02,y
14/02/2020,Far Cobb,,1,,39.81,46.3,57.43,33.31,,,,,,,,,,,455_20170088_V,E06,Y,455-02,
14/02/2020,Far Cobb,,1,,43.82,48.55,67.68,36.82,,,,,,,,,,,455_20170089_V,E07,Y,455-02,
14/02/2020,Far Cobb,,1,,43.89,46.59,60.17,34.65,,,,,,,,,,,455_20170090_V,E08,Y,455-02,y
21/02/2020,Union,,2,,56.64,60.25,80.37,47.9,,,,,,,,,,,455_20170091_V,E09,Y,455-02,y
21/02/2020,Union,,2,,44.33,46.37,61.2,34.32,,,,,,,,,,,455_20170092_V,E10,Y,455-02,y
21/02/2020,Union,,2,,43.63,42.62,57.27,35.03,,,,,,,,,,,455_20170093_V,E11,Y,455-02,
21/02/2020,Union,,1,,38.98,42.85,59,31.49,,,,,,,,,,,455_20170094_V,E12,Y,455-02,
21/02/2020,Union,,1,,41.39,43.82,57.65,33.16,,,,,,,,,,,455_20170095_V,E13,Y,455-02,
21/02/2020,Union,,2,,40.61,45,59.74,34.42,,,,,,,,,,,455_20170096_V,E14,Y,455-02,
21/02/2020,Union,,2,,46.2,51.1,67.12,38.65,,,,,,,,,,,455_20170097_V,E15,Y,455-02,y
21/02/2020,Union,,1,,47.04,52.28,65.24,39.39,,,,,,,,,,,455_20170098_V,E16,Y,455-02,
21/02/2020,Union,,1,,46.16,51.33,64.97,39.05,,,,,,,,,,,455_20170099_V,E17,Y,455-02,
21/02/2020,Union,,1,,45.77,49.97,69.21,37.41,,,,,,,,,,,455_20170100_V,E18,Y,455-02,
21/02/2020,Union,,1,,46.62,51.93,66.34,38.14,,,,,,,,,,,455_20170101_V,E19,Y,455-02,
21/02/2020,Union,,1,,48.27,52.51,69.95,40.02,,,,,,,,,,,455_20170102_V,E20,Y,455-02,y
21/02/2020,Union,,1,,45.14,42.65,59.21,34.78,,,,,,,,,,,455_20170103_V,A01,Y,455-03,Y
21/02/2020,Union,,1,,50,49.89,69,37.4,,,,,,,,,,,455_20170104_v,A02,Y,455-03,Y
21/02/2020,Union,,1,,38.95,42.66,53.27,33.4,,,,,,,,,,,455_20170105_v,A03,,455-03,
21/02/2020,Union,,2,,42.49,46.41,61.08,35.75,,,,,,,,,,,455_20170106_v,A04,,455-03,Y
21/02/2020,Union,,1,,39.14,44.06,53.57,29.95,,,,,,,,,,,455_20170107_v,A05,,455-03,
21/02/2020,Union,,1,,43.29,48.52,64.92,38.16,,,,,,,,,,,455_20170108_v,A06,,455-03,
21/02/2020,Union,,2,,46.61,53.15,71.37,42.54,,,,,,,,,,,455_20170109_v,A07,,455-03,
21/02/2020,Union,,2,,54.18,56.55,75.03,47.47,,,,,,,,,,,455_20170110_v,A08,,455-03,Y
21/02/2020,Union,,2,,41.29,43.53,56.44,32.77,,,,,,,,,,,455_20170111_v,A09,,455-03,
21/02/2020,Union,,2,,46.23,50.54,67.7,35.3,,,,,,,,,,,455_20170112_v,A10,,455-03,
21/02/2020,Union,,2,,39.76,42.39,50.38,30.87,,,,,,,,,,,455_20170113_v,A11,,455-03,
21/02/2020,Union,,2,,45.33,52.12,68.4,42.24,,,,,,,,,,,455_20170114_v,A12,,455-03,
21/02/2020,Union,,2,,52.94,57.22,77.28,44.37,,,,,,,,,,,455_20170115_v,A13,,455-03,
21/02/2020,Union,,2,,46.06,49.87,65.25,38.45,,,,,,,,,,,455_20170116_v,A14,,455-03,
21/02/2020,Union,,2,,44.45,47.63,61.13,37.44,,,,,,,,,,,455_20170117_v,A15,,455-03,
21/02/2020,Far Cobb,,2,,40.05,47.5,62.06,35.66,,,,,,,,,,,455_20170118_V,A16,,455-03,y
21/02/2020,Far Cobb,,2,,43.02,49.11,63.85,37.01,,,,,,,,,,,455_20170119_V,A17,,455-03,
21/02/2020,Far Cobb,,2,,46.14,47.87,61.06,37.08,,,,,,,,,,,455_20170120_V,A18,,455-03,
21/02/2020,Far Cobb,,2,,43.6,46.43,60.67,34.14,,,,,,,,,,,455_20170121_V,A19,,455-03,
21/02/2020,Far Cobb,,2,,47.98,51.15,68.69,35.65,,,,,,,,,,,455_20170122_V,A20,,455-03,
21/02/2020,Far Cobb,,2,,45.53,51.25,66.51,39.18,,,,,,,,,,,455_20170123_V,B01,,455-03,y
21/02/2020,Far Cobb,,2,,54.5,57.47,79.13,47.41,,,,,,,,,,,455_20170124_V,B02,,455-03,
21/02/2020,Far Cobb,,2,,48.49,52.94,68.93,39.26,,,,,,,,,,,455_20170125_V,B03,,455-03,
21/02/2020,Far Cobb,,2,,41.88,48.23,63.17,35.42,,,,,,,,,,,455_20170126_V,B04,,455-03,
21/02/2020,Far Cobb,,2,,58.91,63.1,82.04,48.28,,,,,,,,,,,455_20170127_V,B05,,455-03,y
21/02/2020,Far Cobb,,1,,56.25,58.84,75.99,46.62,,,,,,,,,,,455_20170128_V,B06,,455-03,
21/02/2020,Far Cobb,,1,,43.41,47.61,60.59,36.71,,,,,,,,,,,455_20170129_V,B07,,455-03,
21/02/2020,Far Cobb,,1,,42.75,48.99,62.81,36.47,,,,,,,,,,,455_20170130_V,B08,,455-03,
21/02/2020,Far Cobb,,1,,44.68,49.03,61.53,35.61,,,,,,,,,,,455_20170131_V,B09,,455-03,
21/02/2020,Far Cobb,,1,,45.38,47.51,61.05,33.35,,,,,,,,,,,455_20170132_V,B10,,455-03,y
21/02/2020,Far Cobb,,1,,48.82,51.46,68.43,37.61,,,,,,,,,,,455_20170133_V,B11,,455-03,
21/02/2020,Far Cobb,,1,,44.7,51,64.78,40.28,,,,,,,,,,,455_20170134_V,B12,,455-03,
21/02/2020,Far Cobb,,1,,39.08,43.43,53.18,28.8,,,,,,,,,,,455_20170135_V,B13,,455-03,
21/02/2020,Far Cobb,,1,,40.95,44.99,57.97,32.5,,,,,,,,,,,455_20170136_V,B14,,455-03,
21/02/2020,Far Cobb,,1,,46.23,48.43,62,37.67,,,,,,,,,,,455_20170137_V,B15,,455-03,y
27/02/2020,Brown Bear,,1,,42.54,46.64,59.3,34.6,,,,,,,,,,,455_20170138_V,B16,,455-03,y
27/02/2020,Brown Bear,,2,,44.49,47.55,63.24,34.52,,,,,,,,,,,455_20170139_V,B17,,455-03,
27/02/2020,Brown Bear,,2,,44.52,47.05,52.79,35.22,,,,,,,,,,,455_20170140_V,B18,,455-03,y
27/02/2020,Brown Bear,,1,,45.18,48.05,64.22,36.32,,,,,,,,,,,455_20170141_V,B19,,455-03,
27/02/2020,Brown Bear,,1,,45.86,49.13,63.94,38.53,,,,,,,,,,,455_20170142_V,B20,,455-03,y
27/02/2020,Brown Bear,,2,,39.4,44.3,56.98,34.68,,,,,,,,,,,455_20170143_V,C01,,455-03,
27/02/2020,Brown Bear,,1,,47.6,50.22,65.7,40.94,,,,,,,,,,,455_20170144_V,C02,,455-03,
27/02/2020,Brown Bear,,1,,45.36,53.27,69.41,38.79,,,,,,,,,,,455_20170145_V,C03,,455-03,y
27/02/2020,Brown Bear,,1,,41.23,44.71,58.29,32.91,,,,,,,,,,,455_20170146_V,C04,,455-03,
27/02/2020,Brown Bear,,1,,46.33,51.83,67.49,38.8,,,,,,,,,,,455_20170147_V,C05,,455-03,y
27/02/2020,Brown Bear,,1,,46.12,47.83,64.01,37.71,,,,,,,,,,,455_20170148_V,C06,,455-03,
27/02/2020,Brown Bear,,1,,40.06,47.09,60.74,35.83,,,,,,,,,,,455_20170149_V,C07,,455-03,
27/02/2020,Brown Bear,,1,,39.79,46.42,63.41,36.05,,,,,,,,,,,455_20170150_V,C08,,455-03,
27/02/2020,Brown Bear,,1,,40.31,44.08,57.38,34.41,,,,,,,,,,,455_20170151_V,C09,,455-03,y
27/02/2020,Brown Bear,,1,,42.87,45.45,61.3,35.14,,,,,,,,,,,455_20170152_V,C10,,455-03,
27/02/2020,Brown Bear,,1,,40.61,43.16,55.31,32.92,,,,,,,,,,,455_20170153_V,C11,,455-03,
27/02/2020,Brown Bear,,2,,41.9,46.97,60.3,36.03,,,,,,,,,,,455_20170154_V,C12,,455-03,
27/02/2020,Brown Bear,,1,,48.77,52.61,65.34,39.5,,,,,,,,,,,455_20170155_V,C13,,455-03,
27/02/2020,Brown Bear,,1,,47.61,50.07,67.33,38.31,,,,,,,,,,,455_20170156_V,C14,,455-03,
27/02/2020,Brown Bear,,2,,39.72,44.57,60.76,33.37,,,,,,,,,,,455_20170157_V,C15,,455-03,y
27/02/2020,Brown Bear,,1,,44.83,48.32,64.21,39.3,,,,,,,,,,,455_20170158_V,C16,,455-03,
27/02/2020,Brown Bear,,1,,43.23,46.26,61.45,34.83,,,,,,,,,,,455_20170159_V,C17,,455-03,
27/02/2020,Brown Bear,,1,,44.65,46.82,64.09,34.52,,,,,,,,,,,455_20170160_V,C18,,455-03,
27/02/2020,Brown Bear,,1,,43.52,45.96,60.34,33.97,,,,,,,,,,,455_20170161_V,C19,,455-03,
27/02/2020,Brown Bear,,1,,50.46,53.18,70.24,40.41,,,,,,,,,,,455_20170162_V,C20,,455-03,y
27/02/2020,Brown Bear,,2,,41.61,45.33,62.13,29.17,,,,,,,,,,,455_20170163_V,D01,,455-03,y
27/02/2020,Brown Bear,,2,,45.3,50.32,71.45,39.48,,,,,,,,,,,455_20170164_V,D02,,455-03,
27/02/2020,Brown Bear,,1,,47.47,50.43,69.02,37.85,,,,,,,,,,,455_20170165_V,D03,,455-03,
27/02/2020,Brown Bear,,1,,48.81,53.39,69.7,43.9,,,,,,,,,,,455_20170166_V,D04,,455-03,
27/02/2020,Brown Bear,,2,,45.2,46.52,58.6,33.31,,,,,,,,,,,455_20170167_V,D05,,455-03,y
27/02/2020,Brown Bear,,2,,44.58,48.52,59.94,36.1,,,,,,,,,,,455_20170168_V,D06,,455-03,
27/02/2020,Brown Bear,,1,,45.01,48.27,63.38,35.65,,,,,,,,,,,455_20170169_V,D07,,455-03,
27/02/2020,Brown Bear,,1,,44.95,49.81,65.83,41.61,,,,,,,,,,,455_20170170_V,D08,,455-03,
27/02/2020,Brown Bear,,1,,43.67,46.2,63.49,35.07,,,,,,,,,,,455_20170171_V,D09,,455-03,
27/02/2020,Brown Bear,,2,,42.44,47.88,65.28,37.25,,,,,,,,,,,455_20170172_V,D10,,455-03,y
27/02/2020,Brown Bear,,2,,57.2,56.3,71.59,43.66,,,,,,,,,,,455_20170173_V,D11,,455-03,
27/02/2020,Brown Bear,,1,,44.54,48.86,64.35,37.96,,,,,,,,,,,455_20170174_V,D12,,455-03,
27/02/2020,Brown Bear,,2,,42.83,45.99,61.04,36.27,,,,,,,,,,,455_20170175_V,D13,,455-03,
27/02/2020,Brown Bear,,1,,45.69,50.09,67.41,37.43,,,,,,,,,,,455_20170176_V,D14,,455-03,
27/02/2020,Brown Bear,,1,,48.23,50.5,62.89,37.43,,,,,,,,,,,455_20170177_V,D15,,455-03,y
27/02/2020,Brown Bear,,1,,45.11,47.55,62.01,36.19,,,,,,,,,,,455_20170178_V,D16,,455-03,
27/02/2020,Brown Bear,,2,,51.72,52.77,72.17,40.99,,,,,,,,,,,,D17,,455-03,y
27/02/2020,Brown Bear,,1,,42.79,48.66,64.33,33.59,,,,,,,,,,,455_20170179_V,D18,,455-03,
27/02/2020,Brown Bear,,1,,42.8,45.79,63.23,36.35,,,,,,,,,,,455_20170181_V,D19,,455-03,
27/02/2020,Brown Bear,,2,,37.22,39.09,52,29.53,,,,,,,,,,,455_20170182_V,D20,,455-03,y
27/02/2020,Brown Bear,,1,,41.07,45.08,63.83,35.89,,,,,,,,,,,455_20170183_V,E01,,455-04,
27/02/2020,Brown Bear,,1,,44.18,50.31,70.95,37.7,,,,,,,,,,,455_20170184_V,E02,,455-04,
27/02/2020,Brown Bear,,1,,45.47,50.8,64.97,37,,,,,,,,,,,455_20170185_V,E03,,455-04,
27/02/2020,Brown Bear,,1,,46.48,48.21,62.89,38.12,,,,,,,,,,,455_20170186_V,E04,,455-04,
27/02/2020,Brown Bear,,2,,46.95,49.85,63.87,39.29,,,,,,,,,,,455_20170187_V,E05,,455-04,
27/02/2020,Brown Bear,,1,,40.33,44.09,59.02,30.78,,,,,,,,,,,455_20170188_V,E06,,455-04,
27/02/2020,Brown Bear,,1,,44.25,47.26,62.41,38.81,,,,,,,,,,,455_20170189_V,E07,,455-04,
27/02/2020,Brown Bear,,1,,47.9,50.86,64.08,38.66,,,,,,,,,,,455_20170190_V,E08,,455-04,
27/02/2020,Brown Bear,,1,,45.55,48.71,62.24,36.29,,,,,,,,,,,455_20170191_V,E09,,455-04,
27/02/2020,Brown Bear,,1,,46.01,50.23,68.8,38.78,,,,,,,,,,,455_20170192_V,E10,,455-04,
27/02/2020,Brown Bear,,2,,37.52,40.69,51.51,31.23,,,,,,,,,,,455_20170193_V,E11,,455-04,y
27/02/2020,Brown Bear,,0,,44.88,48.94,67.91,38.04,,,,,,,,,,,455_20170194_V,E12,,455-04,
27/02/2020,Brown Bear,,2,,42.11,48.45,62.14,37.47,,,,,,,,,,,455_20170195_V,E13,,455-04,
27/02/2020,Brown Bear,,1,,44.31,47.81,65.85,38.28,,,,,,,,,,,455_20170196_V,E14,,455-04,
27/02/2020,Brown Bear,,2,,43.61,48.57,60.44,35.54,,,,,,,,,,,455_20170197_V,E15,,455-04,y
27/02/2020,Brown Bear,,1,,42.58,46.38,61.19,36.6,,,,,,,,,,,455_20170198_V,E16,,455-04,
27/02/2020,Brown Bear,,,,,,,,,,,,,,,,,,,E17,,455-04,
27/02/2020,Brown Bear,,,,,,,,,,,,,,,,,,,E18,,455-04,
27/02/2020,Brown Bear,,,,,,,,,,,,,,,,,,,E19,,455-04,
27/02/2020,Brown Bear,,,,,,,,,,,,,,,,,,,E20,,455-04,
