"yr","DNA_VIAL_BARCODE","SPECIMEN_SEX_DESC","Genetic_Sex_New_DFO_X_Insert_and_2_second_injection_2018","Concordance_confirmed_and_genetic_sex_ID_2018","Fork_Length"
2018,"455_20150171_V","FEMALE","FEMALE",1,865
2018,"455_20150172_V","FEMALE","FEMALE",1,825
2018,"455_20150173_V","MALE","FEMALE",0,600
2018,"455_20150174_V","MALE","MALE",1,595
2018,"455_20150175_V","FEMALE","FEMALE",1,530
2018,"455_20150176_V","FEMALE","FEMALE",1,525
2018,"455_20150177_V","MALE","MALE",1,320
2018,"455_20150179_V","MALE","MALE",1,550
2018,"455_20150180_V","FEMALE","FEMALE",1,570
2018,"455_20150181_V","MALE","MALE",1,440
2018,"455_20150182_V","FEMALE","FEMALE",1,505
2018,"455_20150183_V","MALE","MALE",1,540
2018,"455_20150186_V","MALE","MALE",1,470
2018,"455_20150187_V","MALE","MALE",1,485
2018,"455_20150188_V","MALE","MALE",1,615
2018,"455_20150189_V","FEMALE","FEMALE",1,625
2018,"455_20150190_V","MALE","MALE",1,725
2018,"455_20150191_V","MALE","MALE",1,730
2018,"455_20150192_V","FEMALE","FEMALE",1,1080
2018,"455_20150193_V","FEMALE","FEMALE",1,365
2018,"455_20150194_V","MALE","MALE",1,590
2018,"455_20150195_V","MALE","MALE",1,390
2018,"455_20150196_V","MALE","MALE",1,620
2018,"455_20150197_V","FEMALE","FEMALE",1,520
2018,"455_20150198_V","FEMALE","FEMALE",1,525
2018,"455_20150199_V","MALE","MALE",1,585
2018,"455_20150200_V","FEMALE","FEMALE",1,380
2018,"455_20160001_V","FEMALE","FEMALE",1,555
2018,"455_20160003_V","MALE","MALE",1,500
2018,"455_20160004_V","MALE","MALE",1,490
2018,"455_20160005_V","MALE","MALE",1,635
2018,"455_20160006_V","MALE","MALE",1,375
2018,"455_20160007_V","FEMALE","FEMALE",1,605
2018,"455_20160008_V","FEMALE","FEMALE",1,495
2018,"455_20160009_V","MALE","MALE",1,630
2018,"455_20160010_V","MALE","MALE",1,375
2018,"455_20160011_V","FEMALE","FEMALE",1,650
2018,"455_20160012_V","FEMALE","FEMALE",1,405
2018,"455_20160013_V","MALE","MALE",1,740
2018,"455_20160014_V","FEMALE","FEMALE",1,520
2018,"455_20160015_V","FEMALE","FEMALE",1,490
2018,"455_20160017_V","FEMALE","FEMALE",1,965
2018,"455_20160018_V","MALE","MALE",1,600
2018,"455_20160019_V","FEMALE","FEMALE",1,695
2018,"455_20160020_V","MALE","FEMALE",0,435
2018,"455_20160021_V","MALE","MALE",1,460
2018,"455_20160022_V","MALE","MALE",1,520
2018,"455_20160023_V","MALE","MALE",1,700
2018,"455_20160024_V","FEMALE","FEMALE",1,370
2018,"455_20160026_V","MALE","MALE",1,780
2018,"455_20160027_V","MALE","MALE",1,535
2018,"455_20160028_V","MALE","MALE",1,640
2018,"455_20160029_V","MALE","MALE",1,665
2018,"455_20160030_V","FEMALE","FEMALE",1,485
2018,"455_20160031_V","MALE","MALE",1,750
2018,"455_20160032_V","FEMALE","FEMALE",1,515
2018,"455_20160033_V","FEMALE","FEMALE",1,395
2018,"455_20160034_V","MALE","MALE",1,630
2018,"455_20160035_V","FEMALE","FEMALE",1,390
2018,"455_20160036_V","FEMALE","MALE",0,615
2018,"455_20160037_V","FEMALE","FEMALE",1,350
